Project,Package,Module,Class,LOC,WMC,NOM,NOPM,NOF,NOPF,LCOM,Fan-In,Fan-Out,DIT,File
backend,backend.auth.schemas,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\schemas\__init__.py
backend,backend.auth.services,auth_service,,23,8,1,1,0,0,0,0,3,0,C:\Users\Adity\Downloads\group02\backend\auth\services\auth_service.py
backend,backend.auth.services,auth_service,AuthService,21,7,7,6,4,1,0,0,3,0,C:\Users\Adity\Downloads\group02\backend\auth\services\auth_service.py
backend,backend.auth.services,password_reset_service,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\services\password_reset_service.py
backend,backend.auth.services,verification_service,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\services\verification_service.py
backend,backend.auth.services,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\services\__init__.py
backend,backend.auth.tests,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\tests\__init__.py
backend,backend.auth.utils,auth,,19,5,1,1,4,4,0,0,1,0,C:\Users\Adity\Downloads\group02\backend\auth\utils\auth.py
backend,backend.auth.utils,email_sender,,23,4,1,1,2,2,0,0,1,0,C:\Users\Adity\Downloads\group02\backend\auth\utils\email_sender.py
backend,backend.auth.utils,password,,4,2,2,2,1,1,1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\utils\password.py
backend,backend.auth.utils,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\utils\__init__.py
backend,backend.chat,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\chat\__init__.py
backend,backend.chat.models,chat_models,,54,4,0,0,0,0,-1,1,0,0,C:\Users\Adity\Downloads\group02\backend\chat\models\chat_models.py
backend,backend.chat.models,chat_models,ChatSession,32,2,2,1,12,11,0,0,0,0,C:\Users\Adity\Downloads\group02\backend\chat\models\chat_models.py
backend,backend.chat.models,chat_models,ChatMessage,22,2,2,1,7,6,0,0,0,0,C:\Users\Adity\Downloads\group02\backend\chat\models\chat_models.py
backend,backend.chat.models,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\chat\models\__init__.py
backend,backend.chat.routers,chat_router,,52,8,8,7,1,1,0,0,0,0,C:\Users\Adity\Downloads\group02\backend\chat\routers\chat_router.py
backend,backend.chat.routers,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\chat\routers\__init__.py
backend,backend.chat.schemas,chat_schemas,,8,0,0,0,0,0,-1,1,0,0,C:\Users\Adity\Downloads\group02\backend\chat\schemas\chat_schemas.py
backend,backend.chat.schemas,chat_schemas,ChatMessageRequest,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\chat\schemas\chat_schemas.py
backend,backend.chat.schemas,chat_schemas,ChatSessionCreate,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\chat\schemas\chat_schemas.py
backend,backend.chat.schemas,chat_schemas,ChatMessageResponse,3,0,0,0,1,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\chat\schemas\chat_schemas.py
backend,backend.chat.schemas,chat_schemas,ChatSessionResponse,1,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\chat\schemas\chat_schemas.py
backend,backend.chat.schemas,chat_schemas,ChatReplyResponse,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\chat\schemas\chat_schemas.py
backend,backend.chat.schemas,chat_schemas,ChatSessionListItem,3,0,0,0,1,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\chat\schemas\chat_schemas.py
backend,backend.chat.schemas,chat_schemas,ChatHistoryResponse,1,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\chat\schemas\chat_schemas.py
backend,backend.chat.schemas,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\chat\schemas\__init__.py
backend,backend.chat.services,chat_service,,506,54,24,14,15,14,0.04,0,1,0,C:\Users\Adity\Downloads\group02\backend\chat\services\chat_service.py
